ariba	pubmlst_species	schema
Achromobacter spp.	Achromobacter xylosoxidans	default
Achromobacter spp.	Achromobacter ruhlandii	default
Achromobacter spp.	Achromobacter insuavis	default
Achromobacter spp.	Achromobacter dolens	default
Achromobacter spp.	Achromobacter aegrifaciens	default
Achromobacter spp.	Achromobacter mucicolens	default
Achromobacter spp.	Achromobacter insolitus	default
Achromobacter spp.	Achromobacter spanius	default
Achromobacter spp.	Achromobacter piechaudii	default
Achromobacter spp.	Achromobacter denitrificans	default
Achromobacter spp.	Achromobacter marplatensis	default
Achromobacter spp.	Achromobacter pulmonis	default
Achromobacter spp.	Achromobacter deleyi	default
Achromobacter spp.	Achromobacter animicus	default
Achromobacter spp.	Achromobacter kerstersii	default
Achromobacter spp.	Achromobacter anxifer	default
Achromobacter spp.	Achromobacter veterisilvae	default
Achromobacter spp.	Achromobacter agilis	default
Achromobacter spp.	Achromobacter pestifer	default
Achromobacter spp.	Achromobacter	default
Acinetobacter baumannii#1	Acinetobacter baumannii	oxford
Acinetobacter baumannii#2	Acinetobacter baumannii	pasteur
Aeromonas spp.	Aeromonas veronii	default
Aeromonas spp.	Aeromonas hydrophila	default
Aeromonas spp.	Aeromonas aquariorum	default
Aeromonas spp.	Aeromonas caviae	default
Aeromonas spp.	Aeromonas sobria	default
Aeromonas spp.	Aeromonas jandaei	default
Aeromonas spp.	Aeromonas salmonicida	default
Aeromonas spp.	Aeromonas allosaccharophila	default
Aeromonas spp.	Aeromonas trota	default
Aeromonas spp.	Aeromonas	default
Aeromonas spp.	Aeromonas media	default
Aeromonas spp.	Aeromonas enteropelogenes	default
Aeromonas spp.	Aeromonas bestiarum	default
Aeromonas spp.	Aeromonas schubertii	default
Aeromonas spp.	Aeromonas tecta	default
Aeromonas spp.	Aeromonas eucrenophila	default
Aeromonas spp.	Aeromonas encheleia	default
Aeromonas spp.	Aeromonas popoffii	default
Aeromonas spp.	Aeromonas molluscorum	default
Anaplasma phagocytophilum	Anaplasma phagocytophilum	default
Arcobacter spp.	Arcobacter butzleri	default
Arcobacter spp.	Arcobacter cryaerophilus	default
Arcobacter spp.	Arcobacter skirrowii	default
Arcobacter spp.	Arcobacter cibarius	default
Arcobacter spp.	Arcobacter thereius	default
Aspergillus fumigatus	Aspergillus fumigatus	default
Bacillus cereus	Bacillus cereus	default
Bacillus licheniformis	Bacillus licheniformis	default
Bacillus subtilis	Bacillus subtilis	default
Bartonella bacilliformis	Bartonella bacilliformis	default
Bartonella henselae	Bartonella henselae	default
Bartonella washoensis	Bartonella washoensis	default
Bordetella spp.	Bordetella pertussis	default
Bordetella spp.	Bordetella bronchiseptica	default
Bordetella spp.	Bordetella holmesii	default
Bordetella spp.	Bordetella parapertussis	default
Bordetella spp.	Bordetella hinzii	default
Bordetella spp.	Bordetella bronchialis	default
Bordetella spp.	Bordetella trematum	default
Bordetella spp.	Bordetella pseudohinzii	default
Bordetella spp.	Bordetella avium	default
Bordetella spp.	Bordetella petrii	default
Bordetella spp.	Bordetella	default
Bordetella spp.	Bordetella ansorpii	default
Bordetella spp.	Bordetella tumulicola	default
Bordetella spp.	Bordetella sputigena	default
Bordetella spp.	Bordetella flabilis	default
Bordetella spp.	Bordetella tumbae	default
Bordetella spp.	Bordetella muralis	default
Borrelia spp.	Borrelia burgdorferi	default
Borrelia spp.	Borrelia afzelii	default
Borrelia spp.	Borrelia garinii	default
Borrelia spp.	Borrelia bavariensis	default
Borrelia spp.	Borrelia valaisiana	default
Borrelia spp.	Borrelia lusitaniae	default
Borrelia spp.	Borrelia turcica	default
Borrelia spp.	Borrelia miyamotoi	default
Borrelia spp.	Borrelia yangtzensis	default
Borrelia spp.	Borrelia bissettiae	default
Borrelia spp.	Borrelia turdi	default
Borrelia spp.	Borrelia mayonii	default
Borrelia spp.	Borrelia lanei	default
Borrelia spp.	Borrelia	default
Borrelia spp.	Borrelia recurrentis	default
Borrelia spp.	Borrelia kurtenbachii	default
Borrelia spp.	Borrelia carolinensis	default
Borrelia spp.	Borrelia japonica	default
Borrelia spp.	Borrelia americana	default
Borrelia spp.	Borrelia spielmanii	default
Borrelia spp.	Borrelia persica	default
Borrelia spp.	Borrelia hispanica	default
Borrelia spp.	Borrelia californiensis	default
Borrelia spp.	Borrelia chilensis	default
Borrelia spp.	Borrelia anserina	default
Borrelia spp.	Borrelia hermsii	default
Borrelia spp.	Borrelia sinica	default
Borrelia spp.	Borrelia parkeri	default
Borrelia spp.	Borrelia duttonii	default
Borrelia spp.	Borrelia coriaceae	default
Borrelia spp.	Borrelia turicatae	default
Borrelia spp.	Borrelia crocidurae	default
Borrelia spp.	Borrelia andersonii	default
Borrelia spp.	Borrelia tanukii	default
Brachyspira hampsonii	Brachyspira hampsonii	hampsonii
Brachyspira hyodysenteriae	Brachyspira hyodysenteriae	hyodysenteriae
Brachyspira intermedia	Brachyspira intermedia	intermedia
Brachyspira pilosicoli	Brachyspira pilosicoli	pilosicoli
Brachyspira spp.	Brachyspira hampsonii	default
Brachyspira spp.	Brachyspira hyodysenteriae	default
Brachyspira spp.	Brachyspira intermedia	default
Brachyspira spp.	Brachyspira pilosicoli	default
Brucella spp.	Brucella spp.	default
Brucella spp.	Brucella abortus	default
Brucella spp.	Brucella ceti	default
Brucella spp.	Brucella suis	default
Brucella spp.	Brucella pinnipedialis	default
Brucella spp.	Brucella	default
Brucella spp.	Brucella canis	default
Brucella spp.	Brucella ovis	default
Brucella spp.	Brucella microti	default
Brucella spp.	Brucella neotomae	default
Brucella spp.	Brucella papionis	default
Brucella spp.	Brucella vulpis	default
Brucella spp.	Brucella inopinata	default
Burkholderia cepacia complex	Burkholderia cenocepacia	default
Burkholderia cepacia complex	Burkholderia multivorans	default
Burkholderia cepacia complex	Burkholderia ubonensis	default
Burkholderia cepacia complex	Burkholderia cepacia	default
Burkholderia cepacia complex	Burkholderia vietnamiensis	default
Burkholderia cepacia complex	Burkholderia ambifaria	default
Burkholderia cepacia complex	Burkholderia gladioli	default
Burkholderia cepacia complex	Burkholderia contaminans	default
Burkholderia cepacia complex	Burkholderia lata	default
Burkholderia cepacia complex	Burkholderia stabilis	default
Burkholderia cepacia complex	Burkholderia stagnalis	default
Burkholderia cepacia complex	Burkholderia seminalis	default
Burkholderia cepacia complex	Burkholderia arboris	default
Burkholderia cepacia complex	Burkholderia dolosa	default
Burkholderia cepacia complex	Burkholderia pyrrocinia	default
Burkholderia cepacia complex	Burkholderia diffusa	default
Burkholderia cepacia complex	Burkholderia anthina	default
Burkholderia cepacia complex	Burkholderia pseudomultivorans	default
Burkholderia cepacia complex	Paraburkholderia caledonica	default
Burkholderia cepacia complex	Burkholderia latens	default
Burkholderia cepacia complex	Burkholderia metallica	default
Burkholderia cepacia complex	Paraburkholderia fungorum	default
Burkholderia cepacia complex	Burkholderia plantarii	default
Burkholderia cepacia complex	Burkholderia territorii	default
Burkholderia cepacia complex	Paraburkholderia aspalathi	default
Burkholderia cepacia complex	Burkholderia glumae	default
Burkholderia cepacia complex	Burkholderia singularis	default
Burkholderia cepacia complex	Caballeronia zhejiangensis	default
Burkholderia cepacia complex	Caballeronia choica	default
Burkholderia cepacia complex	Burkholderia thailandensis	default
Burkholderia cepacia complex	Paraburkholderia terricola	default
Burkholderia cepacia complex	Caballeronia cordobensis	default
Burkholderia cepacia complex	Caballeronia glathei	default
Burkholderia cepacia complex	Paraburkholderia tropica	default
Burkholderia cepacia complex	Paraburkholderia phenoliruptrix	default
Burkholderia cepacia complex	Burkholderia paludis	default
Burkholderia cepacia complex	Caballeronia concitans	default
Burkholderia cepacia complex	Burkholderia catarinensis	default
Burkholderia cepacia complex	Paraburkholderia graminis	default
Burkholderia cepacia complex	Paraburkholderia phymatum	default
Burkholderia cepacia complex	Paraburkholderia tuberum	default
Burkholderia cepacia complex	Paraburkholderia caribensis	default
Burkholderia cepacia complex	Caballeronia humi	default
Burkholderia cepacia complex	Caballeronia temeraria	default
Burkholderia cepacia complex	Paraburkholderia kururensis	default
Burkholderia cepacia complex	Burkholderia oklahomensis	default
Burkholderia cepacia complex	Paraburkholderia hospita	default
Burkholderia cepacia complex	Burkholderia humptydooensis	default
Burkholderia cepacia complex	Paraburkholderia sacchari	default
Burkholderia cepacia complex	Burkholderia puraquae	default
Burkholderia cepacia complex	Caballeronia turbans	default
Burkholderia cepacia complex	Paraburkholderia mimosarum	default
Burkholderia cepacia complex	Caballeronia jiangsuensis	default
Burkholderia cepacia complex	Paraburkholderia ribeironis	default
Burkholderia cepacia complex	Caballeronia ptereochthonis	default
Burkholderia cepacia complex	Caballeronia pedi	default
Burkholderia cepacia complex	Caballeronia terrestris	default
Burkholderia cepacia complex	Caballeronia megalochromosomata	default
Burkholderia cepacia complex	Paraburkholderia susongensis	default
Burkholderia cepacia complex	Caballeronia udeis	default
Burkholderia cepacia complex	Paraburkholderia phytofirmans	default
Burkholderia cepacia complex	Caballeronia peredens	default
Burkholderia cepacia complex	Caballeronia catudaia	default
Burkholderia cepacia complex	Paraburkholderia fynbosensis	default
Burkholderia cepacia complex	Paraburkholderia rhynchosiae	default
Burkholderia cepacia complex	Caballeronia mineralivorans	default
Burkholderia cepacia complex	Paraburkholderia humisilvae	default
Burkholderia cepacia complex	Paraburkholderia caffeinilytica	default
Burkholderia cepacia complex	Caballeronia grimmiae	default
Burkholderia cepacia complex	Paraburkholderia sediminicola	default
Burkholderia cepacia complex	Caballeronia novacaledonica	default
Burkholderia cepacia complex	Caballeronia fortuita	default
Burkholderia cepacia complex	Paraburkholderia bryophila	default
Burkholderia cepacia complex	Caballeronia hypogeia	default
Burkholderia cepacia complex	Caballeronia arvi	default
Burkholderia cepacia complex	Trinickia soli	default
Burkholderia cepacia complex	Burkholderia mallei	default
Burkholderia cepacia complex	Caballeronia telluris	default
Burkholderia cepacia complex	Paraburkholderia acidophila	default
Burkholderia cepacia complex	Trinickia caryophylli	default
Burkholderia cepacia complex	Burkholderia pseudomallei	default
Burkholderia cepacia complex	Paraburkholderia caffeinitolerans	default
Burkholderia cepacia complex	Caballeronia calidae	default
Burkholderia cepacia complex	Paraburkholderia ultramafica	default
Burkholderia cepacia complex	Caballeronia arationis	default
Burkholderia cepacia complex	Pararobbsia alpina	default
Burkholderia cepacia complex	Caballeronia glebae	default
Burkholderia cepacia complex	Burkholderia rinojensis	default
Burkholderia cepacia complex	Paraburkholderia solisilvae	default
Burkholderia cepacia complex	Caballeronia sordidicola	default
Burkholderia cepacia complex	Paraburkholderia piptadeniae	default
Burkholderia cepacia complex	Caballeronia insecticola	default
Burkholderia pseudomallei	Burkholderia pseudomallei	default
Campylobacter concisus/curvus	Campylobacter concisus	default
Campylobacter concisus/curvus	Campylobacter curvus	default
Campylobacter fetus	Campylobacter fetus	default
Campylobacter helveticus	Campylobacter helveticus	default
Campylobacter hyointestinalis	Campylobacter hyointestinalis	default
Campylobacter insulaenigrae	Campylobacter insulaenigrae	default
Campylobacter jejuni	Campylobacter jejuni	default
Campylobacter lanienae	Campylobacter lanienae	default
Campylobacter lari	Campylobacter lari	default
Campylobacter sputorum	Campylobacter sputorum	default
Campylobacter upsaliensis	Campylobacter upsaliensis	default
Candida albicans	Candida albicans	default
Candida glabrata	Candida glabrata	default
Candida krusei	Candida krusei	default
Candida tropicalis	Candida tropicalis	default
Candidatus Liberibacter solanacearum	Candidatus Liberibacter solanacearum	default
Carnobacterium maltaromaticum	Carnobacterium maltaromaticum	default
Chlamydiales spp.	Chlamydia trachomatis	default
Chlamydiales spp.	Chlamydia pecorum	default
Chlamydiales spp.	Chlamydia psittaci	default
Chlamydiales spp.	Chlamydia abortus	default
Chlamydiales spp.	Chlamydia suis	default
Chlamydiales spp.	Chlamydia gallinacea	default
Chlamydiales spp.	Chlamydia pneumoniae	default
Chlamydiales spp.	Chlamydia avium	default
Chlamydiales spp.	Chlamydia muridarum	default
Chlamydiales spp.	Chlamydia ibidis	default
Chlamydiales spp.	Candidatus Chlamydia corallus	default
Chlamydiales spp.	Candidatus Chlamydia sanzinia	default
Chlamydiales spp.	Waddlia chrondophila	default
Chlamydiales spp.	Chlamydia caviae	default
Chlamydiales spp.	Chlamydia serpentis	default
Chlamydiales spp.	Chlamydia buteonis	default
Chlamydiales spp.	Simkania negevensis	default
Chlamydiales spp.	Chlamydia felis	default
Chlamydiales spp.	Parachlamydia acanthamoebae	default
Chlamydiales spp.	Chlamydia poikilothermis	default
Chlamydiales spp.	Chlamydia	default
Citrobacter freundii	Citrobacter freundii	default
Clonorchis sinensis	Clonorchis sinensis	default
