SRX2118809	Lachnospira rogosae
ERX034808	KLE1615 sp900066985
ERX3310458	Streptococcus pneumoniae
ERX3310353	Streptococcus pneumoniae
ERX3310456	Streptococcus pneumoniae
ERX3310410	Streptococcus pneumoniae
ERX3310445	Streptococcus pneumoniae
ERX3310479	Streptococcus pneumoniae
ERX3310309	Streptococcus pneumoniae
ERX3310430	Streptococcus pneumoniae
ERX3310443	Streptococcus pneumoniae
ERX3310328	Streptococcus pneumoniae
ERX3310490	Streptococcus pneumoniae
ERX3310449	Streptococcus pneumoniae
ERX3310425	Streptococcus pneumoniae
ERX3310432	Streptococcus pneumoniae
ERX3310452	Streptococcus pneumoniae
ERX3310372	Streptococcus pneumoniae
ERX3310305	Streptococcus pneumoniae
ERX3310264	Streptococcus pneumoniae
ERX3310291	Streptococcus pneumoniae
ERX3310420	Streptococcus pneumoniae
ERX3310319	Streptococcus pneumoniae
ERX3310374	Streptococcus pneumoniae
ERX3310459	Streptococcus pneumoniae
ERX3310483	Streptococcus pneumoniae
ERX3310460	Streptococcus pneumoniae
ERX3310336	Streptococcus pneumoniae
ERX3310388	Streptococcus pneumoniae
ERX3310303	Streptococcus pneumoniae
ERX3310397	Streptococcus pneumoniae
ERX3310369	Streptococcus pneumoniae
ERX3310316	Streptococcus pneumoniae
ERX3310387	Streptococcus pneumoniae
ERX3310408	Streptococcus pneumoniae
ERX3310280	Streptococcus pneumoniae
ERX2000463	Streptococcus parasanguinis
ERX2000481	Streptococcus pasteurianus
SRX244574	Streptococcus agalactiae
ERX1275972	Streptococcus agalactiae
ERX1275883	Streptococcus agalactiae
SRX456353	Lactobacillus rossiae
ERX399767	Lactobacillus rossiae
SRX301765	Lactobacillus rossiae
ERX359771	Lactobacillus siliginis
SRX456248	Lactobacillus antri
ERX271988	Lactobacillus antri
ERX450890	Lactobacillus antri
ERX178676	Lactobacillus oris
SRX456266	Lactobacillus oris
ERX450925	Lactobacillus oris
ERX272023	Lactobacillus oris
ERX529255	Lactobacillus oris
ERX529186	Lactobacillus oris
ERX529190	Lactobacillus oris
ERX529215	Lactobacillus oris
ERX529249	Lactobacillus oris
ERX529243	Lactobacillus oris
ERX178730	Lactobacillus oris
ERX178731	Lactobacillus oris
ERX178671	Lactobacillus oris
ERX178714	Lactobacillus oris
ERX529104	Lactobacillus oris
ERX178656	Lactobacillus oris
ERX399755	Lactobacillus panis
SRX456350	Lactobacillus panis
SRX456352	Lactobacillus pontis
ERX399765	Lactobacillus pontis
ERX082536	Lactobacillus reuteri
SRX2268571	Lactobacillus reuteri
DRX067012	Lactobacillus reuteri
SRX456270	Lactobacillus reuteri
SRX2268581	Lactobacillus reuteri
SRX1328264	Lactobacillus reuteri
ERX231527	Lactobacillus reuteri
SRX4985825	Lactobacillus reuteri
SRX2582467	Lactobacillus reuteri
SRX2582465	Lactobacillus reuteri
SRX2582468	Lactobacillus reuteri
SRX2582466	Lactobacillus reuteri
SRX2582463	Lactobacillus reuteri
SRX2582462	Lactobacillus reuteri
SRX2582461	Lactobacillus reuteri
SRX6494060	Lactobacillus reuteri
ERX2874687	Lactobacillus reuteri
ERX2274577	Lactobacillus reuteri
ERX2438186	Lactobacillus reuteri
ERX2274500	Lactobacillus reuteri
ERX2438150	Lactobacillus reuteri
ERX2438124	Lactobacillus reuteri
SRX5823837	Lactobacillus reuteri
SRX1092347	Lactobacillus reuteri
DRX061154	Lactobacillus reuteri
DRX061153	Lactobacillus reuteri
SRX5192487	Lactobacillus reuteri
SRX5002688	Lactobacillus reuteri
ERX082528	Lactobacillus reuteri
SRX4985826	Lactobacillus reuteri
SRX2268569	Lactobacillus reuteri
SRX5823838	Lactobacillus reuteri
SRX2641073	Lactobacillus reuteri
SRX2641191	Lactobacillus reuteri
DRX061133	Lactobacillus reuteri
SRX2268579	Lactobacillus reuteri
SRX2610828	Lactobacillus reuteri
