study_accession sample_accession    experiment_accession
PRJDB1101	SAMD00000345	DRX019814
PRJDB1726	SAMD00000344	DRX022186
PRJDB4156	SAMD00038621	DRX040364
PRJDB4955	SAMD00054186	DRX058277
PRJDB5065	SAMD00057198	DRX061114
PRJDB5065	SAMD00057199	DRX061115
PRJDB5065	SAMD00057200	DRX061116
PRJDB5065	SAMD00057201	DRX061117
PRJDB5065	SAMD00057202	DRX061118
PRJDB5065	SAMD00057203	DRX061119
PRJDB5065	SAMD00057204	DRX061120
PRJDB5065	SAMD00057205	DRX061121
PRJDB5065	SAMD00057206	DRX061122
PRJDB5065	SAMD00057207	DRX061123
PRJDB5065	SAMD00057208	DRX061124
PRJDB5065	SAMD00057209	DRX061125
PRJDB5065	SAMD00057210	DRX061126
PRJDB5065	SAMD00057211	DRX061127
PRJDB5065	SAMD00057212	DRX061128
PRJDB5065	SAMD00057213	DRX061129
PRJDB5065	SAMD00057214	DRX061130
PRJDB5065	SAMD00057215	DRX061131
PRJDB5065	SAMD00057216	DRX061132
PRJDB5065	SAMD00057217	DRX061133
PRJDB5065	SAMD00057218	DRX061134
PRJDB5065	SAMD00057219	DRX061135
PRJDB5065	SAMD00057220	DRX061136
PRJDB5065	SAMD00057222	DRX061138
PRJDB5065	SAMD00057223	DRX061139
PRJDB5065	SAMD00057224	DRX061140
PRJDB5065	SAMD00057226	DRX061142
PRJDB5065	SAMD00057227	DRX061143
PRJDB5065	SAMD00057229	DRX061145
PRJDB5065	SAMD00057230	DRX061146
PRJDB5065	SAMD00057231	DRX061147
PRJDB5065	SAMD00057233	DRX061149
PRJDB5065	SAMD00057234	DRX061150
PRJDB5065	SAMD00057235	DRX061151
PRJDB5065	SAMD00057237	DRX061153
PRJDB5065	SAMD00057238	DRX061154
PRJDB5065	SAMD00057239	DRX061155
PRJDB5065	SAMD00057241	DRX061157
PRJDB5065	SAMD00057242	DRX061158
PRJDB5065	SAMD00057243	DRX061159
PRJDB5206	SAMD00064367	DRX067012
PRJDB6480	SAMD00098728	DRX143657
PRJDB6495	SAMD00099060	DRX150619
PRJDB6495	SAMD00099061	DRX150620
PRJDB6495	SAMD00099062	DRX150621
PRJDB6495	SAMD00099063	DRX150622
PRJEB10572	SAMEA3725530	ERX1284229
PRJEB10572	SAMEA3725538	ERX1284238
PRJEB10572	SAMEA3725561	ERX1284265
PRJEB11980	SAMEA3684370	ERX1231803
PRJEB11980	SAMEA3684371	ERX1231804
PRJEB14693	SAMEA4361075	ERX1625345
PRJEB14693	SAMEA4361076	ERX1625346
PRJEB14693	SAMEA4361077	ERX1625347
PRJEB18589	SAMEA104281744	ERX2874687
PRJEB18589	SAMEA104281747	ERX2874690
PRJEB18589	SAMEA104281817	ERX2874760
PRJEB18589	SAMEA43988668	ERX2438124
PRJEB18589	SAMEA43994668	ERX2438132
PRJEB18589	SAMEA43998418	ERX2438137
PRJEB18589	SAMEA44005918	ERX2438147
PRJEB18589	SAMEA44008168	ERX2438150
PRJEB18589	SAMEA44011168	ERX2438154
PRJEB18589	SAMEA44019418	ERX2438166
PRJEB18589	SAMEA44020168	ERX2438167
PRJEB18589	SAMEA44020918	ERX2438168
PRJEB18589	SAMEA44029918	ERX2438180
PRJEB18589	SAMEA44031418	ERX2438182
PRJEB18589	SAMEA44032168	ERX2438183
PRJEB18589	SAMEA44032918	ERX2438184
PRJEB18589	SAMEA44033668	ERX2438185
PRJEB18589	SAMEA44034418	ERX2438186
PRJEB19875	SAMEA103905026	ERX1939924
PRJEB21025	SAMEA104094738	ERX2052289
PRJEB21680	SAMEA5072719	ERX3310420
PRJEB21680	SAMEA5072720	ERX3310303
PRJEB21680	SAMEA5072721	ERX3310449
PRJEB21680	SAMEA5072722	ERX3310425
PRJEB21680	SAMEA5072724	ERX3310316
PRJEB21680	SAMEA5072725	ERX3310264
PRJEB21680	SAMEA5072726	ERX3310460
PRJEB21680	SAMEA5072727	ERX3310328
PRJEB21680	SAMEA5072728	ERX3310374
PRJEB21680	SAMEA5072729	ERX3310445
PRJEB21680	SAMEA5072730	ERX3310388
PRJEB21680	SAMEA5072732	ERX3310305
PRJEB21680	SAMEA5072734	ERX3310353
PRJEB21680	SAMEA5072735	ERX3310397
PRJEB21680	SAMEA5072736	ERX3310369
PRJEB21680	SAMEA5072737	ERX3310458
PRJEB21680	SAMEA5072738	ERX3310319
PRJEB21680	SAMEA5072739	ERX3310443
PRJEB21680	SAMEA5072740	ERX3310479
PRJEB21680	SAMEA5072741	ERX3310410
PRJEB21680	SAMEA5072742	ERX3310408
PRJEB21680	SAMEA5072743	ERX3310459
PRJEB21680	SAMEA5072744	ERX3310336
PRJEB21680	SAMEA5072745	ERX3310280
PRJEB21680	SAMEA5072746	ERX3310372
PRJEB21680	SAMEA5072749	ERX3310291
PRJEB21680	SAMEA5072752	ERX3310452
PRJEB21680	SAMEA5072753	ERX3310490
PRJEB21680	SAMEA5072754	ERX3310309
PRJEB21680	SAMEA5072755	ERX3310430
PRJEB21680	SAMEA5072757	ERX3310456
PRJEB21680	SAMEA5072761	ERX3310432
PRJEB21680	SAMEA5072762	ERX3310483
PRJEB21680	SAMEA5072763	ERX3310387
PRJEB22112	SAMEA104208646	ERX2150224
PRJEB22112	SAMEA104208647	ERX2150225
PRJEB22112	SAMEA104208649	ERX2150228
PRJEB22112	SAMEA104208650	ERX2150229
PRJEB22252	SAMEA4623334	ERX3427100
PRJEB23845	SAMEA104428379	ERX2274577
PRJEB23845	SAMEA104428380	ERX2274578
PRJEB23845	SAMEA104428401	ERX2274599
PRJEB23845	SAMEA104428413	ERX2274610
PRJEB23845	SAMEA104428538	ERX2274653
PRJEB23845	SAMEA104428549	ERX2274664
PRJEB23845	SAMEA104428559	ERX2274674
PRJEB23845	SAMEA104428561	ERX2274676
PRJEB23845	SAMEA104428562	ERX2274677
PRJEB23845	SAMEA104428569	ERX2274684
PRJEB23845	SAMEA104428581	ERX2274696
PRJEB23845	SAMEA104428583	ERX2274698
PRJEB23845	SAMEA104428585	ERX2274700
PRJEB23845	SAMEA104428607	ERX2274722
PRJEB23845	SAMEA104428613	ERX2274728
PRJEB23845	SAMEA104428643	ERX2274757
PRJEB23845	SAMEA104428860	ERX2274779
PRJEB23845	SAMEA104428867	ERX2274588
PRJEB23845	SAMEA2393001	ERX2274496
PRJEB23845	SAMEA2393002	ERX2274497
PRJEB23845	SAMEA2393003	ERX2274498
PRJEB23845	SAMEA2393004	ERX2274499
PRJEB23845	SAMEA2393005	ERX2274500
PRJEB23845	SAMEA2393043	ERX2274536
PRJEB23845	SAMEA2393044	ERX2274537
PRJEB23845	SAMEA2393045	ERX2274538
PRJEB23845	SAMEA2393046	ERX2274539
PRJEB23845	SAMEA3539430	ERX1276161
PRJEB23845	SAMEA3539441	ERX1276172
PRJEB23845	SAMEA3539441	ERX1276266
PRJEB24689	SAMEA104569287	ERX2338316
PRJEB24698	SAMEA104569510	ERX2338320
PRJEB24699	SAMEA104569511	ERX2338417
PRJEB24700	SAMEA104569512	ERX2338424
PRJEB24701	SAMEA104569513	ERX2338425
PRJEB24713	SAMEA104569778	ERX2338429
PRJEB24715	SAMEA104569779	ERX2338430
PRJEB25194	SAMEA5329587	ERX3177039
PRJEB2631	SAMEA1032382	ERX034808
PRJEB2631	SAMEA1032386	ERX034817
PRJEB26638	SAMEA4648900	ERX2585447
PRJEB2824	SAMEA1094745	ERX082528
PRJEB2824	SAMEA1094746	ERX082536
PRJEB29398	SAMEA5047761	ERX2866884
PRJEB29504	SAMEA5138304	ERX2938651
PRJEB2977	SAMEA2061178	ERX303991
PRJEB2977	SAMEA2061178	ERX529055
PRJEB3012	SAMEA1710387	ERX231532
PRJEB3012	SAMEA1710488	ERX231526
PRJEB3012	SAMEA1710509	ERX231527
PRJEB3012	SAMEA1710530	ERX231528
PRJEB3012	SAMEA1710717	ERX231531
PRJEB3060	SAMEA1571034	ERX178718
PRJEB3060	SAMEA1571035	ERX178678
PRJEB3060	SAMEA1571036	ERX178723
PRJEB3060	SAMEA1571037	ERX178716
PRJEB3060	SAMEA1571038	ERX178672
PRJEB3060	SAMEA1571039	ERX178734
PRJEB3060	SAMEA1571040	ERX178649
PRJEB3060	SAMEA1571041	ERX178742
PRJEB3060	SAMEA1571043	ERX178673
PRJEB3060	SAMEA1571044	ERX178728
PRJEB3060	SAMEA1571045	ERX178738
PRJEB3060	SAMEA1571046	ERX178743
PRJEB3060	SAMEA1571047	ERX178682
PRJEB3060	SAMEA1571049	ERX178668
PRJEB3060	SAMEA1571051	ERX178658
PRJEB3060	SAMEA1571052	ERX178654
PRJEB3060	SAMEA1571055	ERX178664
PRJEB3060	SAMEA1571057	ERX178717
PRJEB3060	SAMEA1571058	ERX178715
PRJEB3060	SAMEA1571060	ERX178719
PRJEB3060	SAMEA1571062	ERX178667
PRJEB3060	SAMEA1571063	ERX178733
PRJEB3060	SAMEA1571064	ERX178648
PRJEB3060	SAMEA1571065	ERX178653
PRJEB3060	SAMEA1571067	ERX178679
PRJEB3060	SAMEA1571068	ERX178729
PRJEB3060	SAMEA1571069	ERX178684
PRJEB3060	SAMEA1571070	ERX178669
PRJEB3060	SAMEA1571071	ERX178737
PRJEB3060	SAMEA1571072	ERX178677
PRJEB3060	SAMEA1571073	ERX178683
PRJEB3060	SAMEA1571074	ERX178739
PRJEB3060	SAMEA1571078	ERX178659
PRJEB3060	SAMEA1571079	ERX178663
PRJEB3060	SAMEA1571082	ERX178714
PRJEB3060	SAMEA1571083	ERX178674
PRJEB3060	SAMEA1571085	ERX178666
PRJEB3060	SAMEA1571087	ERX178732
PRJEB3060	SAMEA1571089	ERX178657
PRJEB3060	SAMEA1571090	ERX178670
PRJEB3060	SAMEA1571092	ERX178661
PRJEB3060	SAMEA1571093	ERX178720
PRJEB3060	SAMEA1571094	ERX178740
PRJEB3060	SAMEA1571095	ERX178656
PRJEB3060	SAMEA1571096	ERX178721
PRJEB3060	SAMEA1571097	ERX178662
PRJEB3060	SAMEA1571099	ERX178731
PRJEB3060	SAMEA1571100	ERX178736
PRJEB3060	SAMEA1571103	ERX178652
PRJEB3060	SAMEA1571104	ERX178725
PRJEB3060	SAMEA1571105	ERX178675
PRJEB3060	SAMEA1571106	ERX178680
PRJEB3060	SAMEA1571108	ERX178676
PRJEB3060	SAMEA1571109	ERX178671
PRJEB3060	SAMEA1571112	ERX178660
PRJEB3060	SAMEA1571113	ERX178650
PRJEB3060	SAMEA1571114	ERX178665
PRJEB3060	SAMEA1571115	ERX178741
PRJEB3060	SAMEA1571118	ERX178726
PRJEB3060	SAMEA1571119	ERX178730
PRJEB3060	SAMEA1571120	ERX178651
PRJEB3060	SAMEA1571122	ERX178655
PRJEB3060	SAMEA1571123	ERX178722
PRJEB3060	SAMEA1571124	ERX178681
PRJEB3060	SAMEA1571126	ERX178735
PRJEB3060	SAMEA1920316	ERX271948
PRJEB3060	SAMEA1920316	ERX450850
PRJEB3060	SAMEA1920317	ERX271949
PRJEB3060	SAMEA1920317	ERX450851
PRJEB3060	SAMEA1920318	ERX271951
PRJEB3060	SAMEA1920318	ERX450853
PRJEB3060	SAMEA1920319	ERX271950
PRJEB3060	SAMEA1920319	ERX450852
PRJEB3060	SAMEA1920321	ERX271952
PRJEB3060	SAMEA1920321	ERX450854
PRJEB3060	SAMEA1920324	ERX271956
PRJEB3060	SAMEA1920324	ERX450858
PRJEB3060	SAMEA1920325	ERX271957
PRJEB3060	SAMEA1920325	ERX450859
PRJEB3060	SAMEA1920326	ERX271958
PRJEB3060	SAMEA1920326	ERX450860
PRJEB3060	SAMEA1920329	ERX271960
PRJEB3060	SAMEA1920329	ERX450862
PRJEB3060	SAMEA1920330	ERX271959
PRJEB3060	SAMEA1920330	ERX450861
PRJEB3060	SAMEA1920331	ERX271964
PRJEB3060	SAMEA1920331	ERX450866
PRJEB3060	SAMEA1920333	ERX271965
PRJEB3060	SAMEA1920333	ERX450867
PRJEB3060	SAMEA1920334	ERX271967
PRJEB3060	SAMEA1920334	ERX450869
PRJEB3060	SAMEA1920335	ERX271966
PRJEB3060	SAMEA1920335	ERX450868
PRJEB3060	SAMEA1920336	ERX271968
PRJEB3060	SAMEA1920336	ERX450870
PRJEB3060	SAMEA1920340	ERX271972
PRJEB3060	SAMEA1920340	ERX450874
PRJEB3060	SAMEA1920341	ERX271973
PRJEB3060	SAMEA1920341	ERX450875
PRJEB3060	SAMEA1920342	ERX271975
PRJEB3060	SAMEA1920342	ERX450877
PRJEB3060	SAMEA1920343	ERX271974
PRJEB3060	SAMEA1920343	ERX450876
PRJEB3060	SAMEA1920344	ERX271976
PRJEB3060	SAMEA1920344	ERX450878
PRJEB3060	SAMEA1920348	ERX271980
PRJEB3060	SAMEA1920348	ERX450882
PRJEB3060	SAMEA1920349	ERX271982
PRJEB3060	SAMEA1920349	ERX450884
PRJEB3060	SAMEA1920350	ERX271981
PRJEB3060	SAMEA1920350	ERX450883
PRJEB3060	SAMEA1920351	ERX271983
PRJEB3060	SAMEA1920351	ERX450885
PRJEB3060	SAMEA1920356	ERX271988
PRJEB3060	SAMEA1920356	ERX450890
