DRX019814	Lactobacillus oryzae
DRX022186	Lactobacillus hokkaidonensis
DRX040364	Lactobacillus gorillae
DRX058277	Lactobacillus parakefiri
DRX061114	Lactobacillus amylovorus
DRX061115	Lactobacillus mucosae
DRX061116	Lactobacillus mucosae
DRX061117	Lactobacillus mucosae LM1
DRX061118	Lactobacillus amylovorus
DRX061119	Lactobacillus amylovorus
DRX061120	Lactobacillus mucosae
DRX061121	Lactobacillus mucosae LM1
DRX061122	Lactobacillus mucosae
DRX061124	Lactobacillus mucosae
DRX061125	Lactobacillus mucosae LM1
DRX061126	Lactobacillus mucosae
DRX061127	Lactobacillus amylovorus
DRX061128	Lactobacillus mucosae
DRX061129	Lactobacillus mucosae LM1
DRX061131	Lactobacillus amylovorus
DRX061132	Lactobacillus mucosae
DRX061133	Lactobacillus reuteri
DRX061134	Lactobacillus mucosae LM1
DRX061135	Lactobacillus porci
DRX061138	Lactobacillus amylovorus
DRX061139	Lactobacillus amylovorus
DRX061140	Lactobacillus ruminis ATCC 25644
DRX061142	Lactobacillus amylovorus
DRX061143	Lactobacillus mucosae
DRX061145	Lactobacillus johnsonii FI9785
DRX061146	Lactobacillus johnsonii FI9785
DRX061149	Lactobacillus amylovorus
DRX061150	Lactobacillus mucosae
DRX061151	Lactobacillus mucosae LM1
DRX061153	Lactobacillus reuteri
DRX061154	Lactobacillus reuteri
DRX061155	Lactobacillus mucosae LM1
DRX061157	Lactobacillus amylovorus
DRX061158	uncultured bacterium
DRX061159	Lactobacillus mucosae
DRX067012	Lactobacillus reuteri DSM 20016
DRX150619	Lactobacillus paragasseri
DRX150620	Lactobacillus paragasseri
DRX150621	Lactobacillus paragasseri
DRX150622	Lactobacillus gasseri DSM 14869
ERX034808	metagenome
ERX082528	Lactobacillus reuteri
ERX082536	Lactobacillus reuteri
ERX1046384	Lactobacillus gasseri ATCC 33323 = JCM 1131
ERX1046385	Lactobacillus gasseri ATCC 33323 = JCM 1131
ERX1046394	Lactobacillus gasseri ATCC 33323 = JCM 1131
ERX1046395	Lactobacillus gasseri ATCC 33323 = JCM 1131
ERX1046396	Lactobacillus gasseri ATCC 33323 = JCM 1131
ERX1046403	Lactobacillus gasseri ATCC 33323 = JCM 1131
ERX1046404	Lactobacillus gasseri ATCC 33323 = JCM 1131
ERX1046405	Lactobacillus gasseri ATCC 33323 = JCM 1131
ERX1046406	Lactobacillus gasseri ATCC 33323 = JCM 1131
ERX1046408	Lactobacillus gasseri ATCC 33323 = JCM 1131
ERX1046409	Lactobacillus gasseri ATCC 33323 = JCM 1131
ERX1046410	Lactobacillus gasseri ATCC 33323 = JCM 1131
ERX1046411	Lactobacillus gasseri ATCC 33323 = JCM 1131
ERX1046412	Lactobacillus gasseri ATCC 33323 = JCM 1131
ERX1046413	Lactobacillus gasseri ATCC 33323 = JCM 1131
ERX1046414	Lactobacillus gasseri ATCC 33323 = JCM 1131
ERX1046415	Lactobacillus gasseri ATCC 33323 = JCM 1131
ERX1046417	Lactobacillus gasseri ATCC 33323 = JCM 1131
ERX1046418	Lactobacillus gasseri ATCC 33323 = JCM 1131
ERX1046419	Lactobacillus gasseri ATCC 33323 = JCM 1131
ERX1126067	Lactobacillus jensenii
ERX1126086	Lactobacillus crispatus ST1
ERX1126089	Lactobacillus crispatus ST1
ERX1126096	Lactobacillus iners ATCC 55195
ERX1126106	Lactobacillus crispatus ST1
ERX1126110	Lactobacillus paragasseri
ERX1126115	Lactobacillus paragasseri
ERX1126138	Lactobacillus crispatus ST1
ERX1126143	Lactobacillus crispatus ST1
ERX1126146	Lactobacillus jensenii
ERX1126150	Lactobacillus crispatus ST1
ERX1231803	Lactobacillus plantarum
ERX1231804	Lactobacillus plantarum
ERX1275831	Lactobacillus delbrueckii
ERX1275832	Aerococcus urinae
ERX1275841	Lactobacillus fermentum
ERX1275866	Gardnerella vaginalis
ERX1275881	Zhihengliuella sp. ISTPL4
ERX1275883	Streptococcus agalactiae
ERX1275920	Lactobacillus delbrueckii subsp. lactis
ERX1275921	Aerococcus urinae
ERX1275930	Lactobacillus fermentum
ERX1275945	Campylobacter ureolyticus RIGS 9880
ERX1275955	Gardnerella vaginalis
ERX1275970	Microbacterium sp. PAMC 28756
