DRX019814	Lactobacillus oryzae JCM 18671
DRX022186	Lactobacillus hokkaidonensis JCM 18461
DRX040364	Lactobacillus gorillae
DRX058277	Lactobacillus parakefiri
DRX061114	Lactobacillus amylovorus
DRX061115	Lactobacillus amylovorus
DRX061116	Lactobacillus mucosae
DRX061117	Lactobacillus mucosae
DRX061118	Lactobacillus amylovorus
DRX061119	Lactobacillus amylovorus
DRX061120	Lactobacillus amylovorus
DRX061121	Lactobacillus mucosae
DRX061122	Lactobacillus mucosae
DRX061123	Lactobacillus mucosae
DRX061124	Lactobacillus mucosae
DRX061125	Lactobacillus mucosae
DRX061126	Lactobacillus mucosae
DRX061127	Lactobacillus acidophilus
DRX061128	Lactobacillus mucosae
DRX061129	Lactobacillus mucosae
DRX061130	Lactobacillus equicursoris
DRX061131	Lactobacillus amylovorus
DRX061132	Lactobacillus mucosae
DRX061133	Lactobacillus reuteri
DRX061134	Lactobacillus sp. ST93
DRX061135	Lactobacillus equicursoris
DRX061136	Lactobacillus amylovorus
DRX061138	Lactobacillus amylovorus
DRX061139	Lactobacillus amylovorus
DRX061140	Lactobacillus ruminis
DRX061142	Lactobacillus amylovorus
DRX061143	Lactobacillus mucosae
DRX061145	Lactobacillus johnsonii
DRX061146	Lactobacillus johnsonii
DRX061147	Lactobacillus reuteri
DRX061149	Lactobacillus amylovorus
DRX061150	Lactobacillus mucosae
DRX061151	Lactobacillus mucosae
DRX061153	Lactobacillus reuteri
DRX061154	Lactobacillus reuteri
DRX061155	Lactobacillus mucosae
DRX061157	Lactobacillus amylovorus
DRX061158	Lactobacillus mucosae
DRX061159	Lactobacillus mucosae
DRX067012	Lactobacillus reuteri
DRX143657	Lactobacillus kosoi
DRX150619	Lactobacillus paragasseri
DRX150620	Lactobacillus paragasseri
DRX150621	Lactobacillus paragasseri
DRX150622	Lactobacillus gasseri
ERX034808	Lactobacillus sp.
ERX034817	Lactobacillus sp.
ERX082528	Lactobacillus reuteri
ERX082536	Lactobacillus reuteri
ERX1046384	Lactobacillus gasseri
ERX1046385	Lactobacillus gasseri
ERX1046386	Lactobacillus gasseri
ERX1046387	Lactobacillus gasseri
ERX1046388	Lactobacillus gasseri
ERX1046389	Lactobacillus gasseri
ERX1046390	Lactobacillus gasseri
ERX1046391	Lactobacillus gasseri
ERX1046392	Lactobacillus gasseri
ERX1046393	Lactobacillus gasseri
ERX1046394	Lactobacillus gasseri
ERX1046395	Lactobacillus gasseri
ERX1046396	Lactobacillus gasseri
ERX1046397	Lactobacillus gasseri
ERX1046398	Lactobacillus gasseri
ERX1046399	Lactobacillus gasseri
ERX1046400	Lactobacillus gasseri
ERX1046401	Lactobacillus gasseri
ERX1046402	Lactobacillus gasseri
ERX1046403	Lactobacillus gasseri
ERX1046404	Lactobacillus gasseri
ERX1046405	Lactobacillus gasseri
ERX1046406	Lactobacillus gasseri
ERX1046407	Lactobacillus gasseri
ERX1046408	Lactobacillus gasseri
ERX1046409	Lactobacillus gasseri
ERX1046410	Lactobacillus gasseri
ERX1046411	Lactobacillus gasseri
ERX1046412	Lactobacillus gasseri
ERX1046413	Lactobacillus gasseri
ERX1046414	Lactobacillus gasseri
ERX1046415	Lactobacillus gasseri
ERX1046416	Lactobacillus gasseri
ERX1046417	Lactobacillus gasseri
ERX1046418	Lactobacillus gasseri
ERX1046419	Lactobacillus gasseri
ERX1126067	Lactobacillus jensenii
ERX1126086	Lactobacillus crispatus
ERX1126089	Lactobacillus crispatus
ERX1126096	Lactobacillus iners
ERX1126106	Lactobacillus crispatus
ERX1126110	Lactobacillus gasseri
ERX1126115	Lactobacillus gasseri
ERX1126138	Lactobacillus crispatus
ERX1126140	Lactobacillus crispatus
ERX1126143	Lactobacillus crispatus
ERX1126146	Lactobacillus jensenii
ERX1126150	Lactobacillus crispatus
ERX1231803	Lactobacillus plantarum
ERX1231804	Lactobacillus plantarum
ERX1275831	Lactobacillus delbrueckii
ERX1275832	Lactobacillus rhamnosus
ERX1275835	Lactobacillus iners
ERX1275836	Lactobacillus crispatus
ERX1275841	Lactobacillus jensenii
ERX1275856	Lactobacillus fermentum
ERX1275866	Lactobacillus rhamnosus
ERX1275870	Lactobacillus vaginalis
ERX1275881	Lactobacillus jensenii
ERX1275883	Lactobacillus sp.
ERX1275920	Lactobacillus delbrueckii
ERX1275921	Lactobacillus rhamnosus
ERX1275924	Lactobacillus iners
ERX1275925	Lactobacillus crispatus
ERX1275930	Lactobacillus jensenii
ERX1275945	Lactobacillus fermentum
ERX1275955	Lactobacillus rhamnosus
ERX1275959	Lactobacillus vaginalis
ERX1275970	Lactobacillus jensenii
ERX1275972	Lactobacillus sp.
ERX1276161	Lactobacillus rhamnosus
ERX1276172	Lactobacillus gasseri
ERX1276255	Lactobacillus rhamnosus
ERX1276266	Lactobacillus gasseri
ERX1284229	Lactobacillus murinus
ERX1284238	Lactobacillus taiwanensis
ERX1284265	Lactobacillus rodentium
ERX1625345	Lactobacillus plantarum
ERX1625346	Lactobacillus plantarum
ERX1625347	Lactobacillus plantarum
ERX178648	Lactobacillus rhamnosus
ERX178649	Lactobacillus gasseri
ERX178650	Lactobacillus gasseri
ERX178651	Lactobacillus rhamnosus
ERX178652	Lactobacillus casei
ERX178653	Lactobacillus fermentum
ERX178654	Lactobacillus rhamnosus
ERX178655	Lactobacillus gasseri
ERX178656	Lactobacillus oris
ERX178657	Lactobacillus rhamnosus
ERX178658	Lactobacillus vaginalis
ERX178659	Lactobacillus rhamnosus
ERX178660	Lactobacillus rhamnosus
ERX178661	Lactobacillus fermentum
ERX178662	Lactobacillus gasseri
ERX178663	Lactobacillus casei
ERX178664	Lactobacillus salivarius
ERX178665	Lactobacillus fermentum
ERX178666	Lactobacillus gasseri
ERX178667	Lactobacillus fermentum
ERX178668	Lactobacillus casei
ERX178669	Lactobacillus casei
ERX178670	Lactobacillus casei
ERX178671	Lactobacillus fermentum
ERX178672	Lactobacillus oris
ERX178673	Lactobacillus rhamnosus
ERX178674	Lactobacillus rhamnosus
ERX178675	Lactobacillus gasseri
ERX178676	Lactobacillus oris
ERX178677	Lactobacillus vaginalis
ERX178678	Lactobacillus gasseri
ERX178679	Lactobacillus acidophilus
ERX178680	Lactobacillus paracasei
ERX178681	Lactobacillus fermentum
ERX178682	Lactobacillus salivarius
ERX178683	Lactobacillus casei
ERX178684	Lactobacillus rhamnosus
ERX178714	Lactobacillus oris
ERX178715	Lactobacillus fermentum
ERX178716	Lactobacillus gasseri
ERX178717	Lactobacillus gasseri
ERX178718	Lactobacillus paracasei
ERX178719	Lactobacillus gasseri
ERX178720	Lactobacillus gasseri
ERX178721	Lactobacillus gasseri
ERX178722	Lactobacillus fermentum
ERX178723	Lactobacillus paracasei
ERX178725	Lactobacillus paracasei
ERX178726	Lactobacillus fermentum
ERX178728	Lactobacillus parabuchneri
ERX178729	Lactobacillus helveticus
ERX178730	Lactobacillus oris
ERX178731	Lactobacillus oris
ERX178732	Lactobacillus gasseri
ERX178733	Lactobacillus salivarius
ERX178734	Lactobacillus gasseri
ERX178735	Lactobacillus salivarius
ERX178736	Lactobacillus
ERX178737	Lactobacillus fermentum
ERX178738	Lactobacillus gasseri
ERX178739	Lactobacillus salivarius
ERX178740	Lactobacillus
ERX178741	Lactobacillus fermentum
ERX178742	Lactobacillus fermentum
ERX178743	Lactobacillus vaginalis
ERX1939924	Lactobacillus paracasei
ERX2000443	Lactobacillus gasseri
ERX2000463	Lactobacillus johnsonii
ERX2000470	Lactobacillus jensenii
ERX2000473	Lactobacillus jensenii
ERX2000481	Lactobacillus crispatus
ERX2000482	Lactobacillus gasseri
ERX2000484	Lactobacillus iners
ERX2000499	Lactobacillus crispatus
ERX2000501	Lactobacillus rhamnosus
ERX2000502	Lactobacillus crispatus
ERX2052289	Lactobacillus casei
ERX2150224	Lactobacillus iners
ERX2150225	Lactobacillus iners
ERX2150228	Lactobacillus crispatus
ERX2150229	Lactobacillus crispatus
ERX2274496	Lactobacillus intestinalis
ERX2274497	Lactobacillus johnsonii
ERX2274498	Lactobacillus murinus
ERX2274499	Lactobacillus murinus
ERX2274500	Lactobacillus reuteri
ERX2274536	Lactobacillus curvatus
ERX2274537	Lactobacillus gasseri
ERX2274538	Lactobacillus ruminis
ERX2274539	Lactobacillus vaginalis
ERX2274577	Lactobacillus reuteri
ERX2274578	Lactobacillus johnsonii
ERX2274588	Lactobacillus salivarius
ERX2274599	Lactobacillus rhamnosus
ERX2274610	Lactobacillus casei
ERX2274653	Lactobacillus animalis
ERX2274664	Lactobacillus paracasei
ERX2274674	Lactobacillus salivarius
ERX2274676	Lactobacillus paracasei
ERX2274677	Lactobacillus casei
ERX2274684	Lactobacillus vaginalis
ERX2274696	Lactobacillus salivarius
ERX2274698	Lactobacillus casei
ERX2274700	Lactobacillus animalis
ERX2274722	Lactobacillus plantarum
ERX2274728	Lactobacillus ruminis
ERX2274757	Lactobacillus rhamnosus
ERX2274779	Lactobacillus gasseri
ERX231526	Lactobacillus paracasei
ERX231527	Lactobacillus reuteri
ERX231528	Lactobacillus delbrueckii subsp. bulgaricus
ERX231531	Lactobacillus delbrueckii subsp. bulgaricus
ERX231532	Lactobacillus acidophilus
ERX2338316	Lactobacillus plantarum
ERX2338320	Lactobacillus plantarum
ERX2338417	Lactobacillus plantarum
ERX2338424	Lactobacillus plantarum
ERX2338425	Lactobacillus plantarum
ERX2338429	Lactobacillus fermentum
ERX2338430	Lactobacillus sakei
ERX2438124	Lactobacillus reuteri
ERX2438132	Lactobacillus murinus
ERX2438137	Lactobacillus intestinalis
ERX2438147	Lactobacillus murinus
ERX2438150	Lactobacillus gasseri
ERX2438154	Lactobacillus johnsonii
ERX2438166	Lactobacillus intestinalis
ERX2438167	Lactobacillus johnsonii
ERX2438168	Lactobacillus murinus
ERX2438180	Lactobacillus intestinalis
ERX2438182	Lactobacillus animalis
ERX2438183	Lactobacillus intestinalis
ERX2438184	Lactobacillus johnsonii
ERX2438185	Lactobacillus murinus
ERX2438186	Lactobacillus reuteri
ERX2585447	Lactobacillus sakei
ERX271948	Lactobacillus gastricus
ERX271949	Lactobacillus rhamnosus
ERX271950	Lactobacillus crispatus
ERX271951	Lactobacillus gasseri
ERX271952	Lactobacillus plantarum
ERX271956	Lactobacillus parabuchneri
ERX271957	Lactobacillus parabuchneri
ERX271958	Lactobacillus crispatus
ERX271959	Lactobacillus gastricus
ERX271960	Lactobacillus plantarum
ERX271964	Lactobacillus helveticus
ERX271965	Lactobacillus fermentum
ERX271966	Lactobacillus vaginalis
ERX271967	Lactobacillus gastricus
ERX271968	Lactobacillus casei
ERX271972	Lactobacillus rhamnosus
ERX271973	Lactobacillus casei
ERX271974	Lactobacillus fermentum
ERX271975	Lactobacillus casei
ERX271976	Lactobacillus fermentum
ERX271980	Lactobacillus fermentum
ERX271981	Lactobacillus helveticus
ERX271982	Lactobacillus vaginalis
ERX271983	Lactobacillus gasseri
ERX271988	Lactobacillus antri
ERX271989	Lactobacillus rhamnosus
ERX271990	Lactobacillus fermentum
ERX271991	Lactobacillus casei
ERX271996	Lactobacillus gasseri
ERX271997	Lactobacillus gasseri
ERX271998	Lactobacillus rhamnosus
ERX271999	Lactobacillus casei
ERX272004	Lactobacillus rhamnosus
ERX272005	Lactobacillus vaginalis
ERX272006	Lactobacillus fermentum
ERX272007	Lactobacillus casei
ERX272012	Lactobacillus gasseri
ERX272013	Lactobacillus fermentum
ERX272014	Lactobacillus gasseri
ERX272015	Lactobacillus vaginalis
ERX272020	Lactobacillus salivarius
ERX272021	Lactobacillus rhamnosus
ERX272022	Lactobacillus rhamnosus
ERX272023	Lactobacillus oris
ERX272028	Lactobacillus plantarum
ERX272029	Lactobacillus rhamnosus
ERX272030	Lactobacillus gasseri
ERX272031	Lactobacillus salivarius
ERX272036	Lactobacillus helveticus
ERX272037	Lactobacillus gasseri
ERX272038	Lactobacillus gastricus
ERX272039	Lactobacillus plantarum
ERX2866884	Lactobacillus plantarum
ERX2874687	Lactobacillus reuteri
ERX2874690	Lactobacillus intestinalis
ERX2874760	Lactobacillus murinus
ERX2938651	Lactobacillus fermentum
ERX303991	Lactobacillus gasseri MV-22
ERX3177039	Lactobacillus gasseri
ERX3180503	Lactobacillus plantarum
ERX3188237	Lactobacillus plantarum
ERX3190887	Lactobacillus plantarum
ERX3191070	Lactobacillus plantarum
ERX3310264	Lactobacillus delbrueckii subsp. bulgaricus
ERX3310280	Lactobacillus fermentum
ERX3310291	Lactobacillus mali
ERX3310303	Lactobacillus brevis
ERX3310305	Lactobacillus paracasei
ERX3310309	Lactobacillus sanfranciscensis
ERX3310316	Lactobacillus delbrueckii
ERX3310319	Lactobacillus amylophilus
ERX3310328	Lactobacillus hilgardii
ERX3310336	Lactobacillus farciminis
ERX3310353	Lactobacillus sakei
ERX3310369	Lactobacillus agilis
ERX3310372	Lactobacillus fructivorans
ERX3310374	Lactobacillus pentosus
ERX3310387	Lactobacillus sakei L45
ERX3310388	Lactobacillus sp. 30A
ERX3310397	Lactobacillus acetotolerans
ERX3310408	Lactobacillus bifermentans
ERX3310410	Lactobacillus aviarius
ERX3310420	Lactobacillus acidophilus
ERX3310425	Lactobacillus casei
ERX3310430	Lactobacillus sharpeae
ERX3310432	Lactobacillus oris
ERX3310443	Lactobacillus amylovorus
ERX3310445	Lactobacillus plantarum
ERX3310449	Lactobacillus buchneri
ERX3310452	Lactobacillus ruminis
ERX3310456	Lactobacillus vermiforme
ERX3310458	Lactobacillus alimentarius
ERX3310459	Lactobacillus coryniformis
ERX3310460	Lactobacillus helveticus
ERX3310479	Lactobacillus animalis
ERX3310483	Lactobacillus vaginalis
ERX3310490	Lactobacillus salivarius
ERX3427100	Lactobacillus rhamnosus
ERX358254	Lactobacillus acidophilus
ERX358255	Lactobacillus acidophilus
ERX358256	Lactobacillus acidophilus
ERX358257	Lactobacillus acidophilus
ERX358258	Lactobacillus acidophilus
ERX358259	Lactobacillus acidophilus
ERX358260	Lactobacillus acidophilus
ERX358261	Lactobacillus acidophilus
ERX358262	Lactobacillus acidophilus
ERX358263	Lactobacillus acidophilus
ERX358264	Lactobacillus acidophilus
ERX358265	Lactobacillus acidophilus
ERX358266	Lactobacillus acidophilus
ERX358267	Lactobacillus acidophilus
ERX358268	Lactobacillus acidophilus
ERX358269	Lactobacillus acidophilus
ERX358270	Lactobacillus acidophilus
ERX358271	Lactobacillus acidophilus
ERX358272	Lactobacillus acidophilus
ERX358273	Lactobacillus acidophilus
ERX358274	Lactobacillus acidophilus
ERX358275	Lactobacillus acidophilus
ERX358276	Lactobacillus acidophilus
ERX358277	Lactobacillus acidophilus
ERX358278	Lactobacillus acidophilus
ERX358279	Lactobacillus acidophilus
ERX358280	Lactobacillus acidophilus
ERX358281	Lactobacillus acidophilus
ERX358282	Lactobacillus acidophilus
ERX358283	Lactobacillus acidophilus
ERX358284	Lactobacillus brevis
ERX358285	Lactobacillus gasseri
ERX358286	Lactobacillus casei
ERX358287	Lactobacillus casei
ERX358288	Lactobacillus plantarum
ERX358289	Lactobacillus plantarum
ERX359689	Lactobacillus capillatus
ERX359690	Lactobacillus manihotivorans
ERX359691	Lactobacillus hayakitensis
ERX359692	Lactobacillus fermentum
ERX359693	Lactobacillus kefiri
ERX359694	Lactobacillus composti
ERX359695	Lactobacillus sakei subsp. sakei
ERX359696	Lactobacillus vaccinostercus
ERX359697	Lactobacillus farraginis
ERX359699	Lactobacillus camelliae
ERX359701	Lactobacillus alimentarius
ERX359703	Lactobacillus parabuchneri
ERX359704	Lactobacillus equigenerosi
ERX359706	Lactobacillus fabifermentans
ERX359707	Lactobacillus lindneri
ERX359709	Lactobacillus fuchuensis
ERX359710	Lactobacillus diolivorans
ERX359712	Lactobacillus hammesii
ERX359713	Lactobacillus acidifarinae
ERX359714	Lactobacillus kefiranofaciens subsp. kefirgranum
ERX359715	Lactobacillus delbrueckii subsp. lactis
ERX359716	Lactobacillus amylotrophicus
ERX359717	Lactobacillus amylophilus
ERX359718	Lactobacillus kimchicus JCM 15530
ERX359719	Lactobacillus floricola
ERX359720	Lactobacillus brantae
ERX359721	Lactobacillus crustorum
ERX359722	Lactobacillus fornicalis
ERX359723	Lactobacillus aquaticus
ERX359724	Lactobacillus sp.
ERX359725	Lactobacillus futsaii
ERX359726	Lactobacillus paralimentarius
ERX359728	Lactobacillus agilis
