Sample	Exclusion Reason
DRX061123	"Not processed, reason: Poor estimate of genome size"
DRX061147	"Not processed, reason: Poor estimate of genome size"
DRX143657	"Not processed, reason: Poor estimate of genome size"
ERX034817	"Not processed, reason: Poor estimate of genome size"
ERX1046386	"Not processed, reason: Low depth of sequencing"
ERX1046387	"Not processed, reason: Low depth of sequencing"
ERX1046388	"Not processed, reason: Low depth of sequencing"
ERX1046389	"Not processed, reason: Low depth of sequencing"
ERX1046390	"Failed to pass minimum cutoffs, reason: Low coverage (14.83x, expect >= 20x);Too many contigs (783, expect <= 500)"
ERX1046391	"Failed to pass minimum cutoffs, reason: Too many contigs (631, expect <= 500)"
ERX1046392	"Failed to pass minimum cutoffs, reason: Low coverage (11.54x, expect >= 20x);Too many contigs (755, expect <= 500)"
ERX1046393	"Failed to pass minimum cutoffs, reason: Low coverage (17.59x, expect >= 20x);Too many contigs (544, expect <= 500)"
ERX1046397	"Not processed, reason: Low depth of sequencing"
ERX1046398	"Not processed, reason: Low depth of sequencing"
ERX1046399	"Not processed, reason: Low depth of sequencing"
ERX1046400	"Failed to pass minimum cutoffs, reason: Low coverage (11.97x, expect >= 20x);Too many contigs (810, expect <= 500)"
ERX1046401	"Failed to pass minimum cutoffs, reason: Low coverage (18.17x, expect >= 20x);Too many contigs (559, expect <= 500)"
ERX1046402	"Failed to pass minimum cutoffs, reason: Low coverage (13.30x, expect >= 20x);Too many contigs (857, expect <= 500)"
ERX1046407	"Failed to pass minimum cutoffs, reason: Low coverage (18.63x, expect >= 20x)"
ERX1046416	"Failed to pass minimum cutoffs, reason: Low coverage (19.20x, expect >= 20x)"
ERX1275836	"Not processed, reason: Poor estimate of genome size"
ERX1275870	"Not processed, reason: Low number of reads;Low depth of sequencing"
ERX1275925	"Not processed, reason: Poor estimate of genome size"
ERX1275959	"Not processed, reason: Low number of reads;Low depth of sequencing"
ERX178660	"Not processed, reason: Poor estimate of genome size"
ERX178661	"Failed to pass minimum cutoffs, reason: Too many contigs (1079, expect <= 500)"
ERX178663	"Not processed, reason: Poor estimate of genome size"
ERX2438180	"Not processed, reason: Poor estimate of genome size"
ERX271964	"Failed to pass minimum cutoffs, reason: Too many contigs (900, expect <= 500)"
ERX271983	"Failed to pass minimum cutoffs, reason: Too many contigs (515, expect <= 500)"
ERX2866884	"Not processed, reason: Poor estimate of genome size"
ERX303991	"Not processed, reason: Poor estimate of genome size"
ERX359696	"Not processed, reason: Poor estimate of genome size"
ERX359703	"Not processed, reason: Poor estimate of genome size"
