sample	Protein identifier	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
DRX019814	DRX019814_01797	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIALP	346	639	54.15	100.00	346	WP_000691737.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
DRX019814	DRX019814_01870	lnu(A)	lincosamide nucleotidyltransferase Lnu(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	PARTIALP	87	161	54.04	98.85	87	WP_011428879.1	lincosamide nucleotidyltransferase Lnu(A)'	NF000236.1	lincosamide nucleotidyltransferase Lnu(A)
DRX022186	DRX022186_01865	vat	Vat family streptogramin A O-acetyltransferase	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	HMM	216	NA	NA	NA	NA	NA	NA	NF000311.1	Vat family streptogramin A O-acetyltransferase
DRX058277	DRX058277_00172	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	504	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
DRX061114	DRX061114_00803	aadE	aminoglycoside 6-adenylyltransferase AadE	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	288	288	100.00	100.00	288	WP_001255868.1	aminoglycoside 6-adenylyltransferase AadE	NF033084.2	aminoglycoside 6-nucleotidyltransferase
DRX061114	DRX061114_01074	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	506	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
DRX061114	DRX061114_01904	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	639	639	100.00	100.00	639	WP_000691721.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DRX061118	DRX061118_00975	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	503	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
DRX061118	DRX061118_01702	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	639	639	100.00	100.00	639	WP_000691721.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
DRX061119	DRX061119_00310	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	503	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
