	ERX1126086	ERX1126089	ERX1126106	ERX1126138	ERX1126140	ERX1126143	ERX1126150	ERX2150228	ERX2150229	ERX271950	ERX271958	ERX450852	ERX450860	GCF_003795065	GCF_003971565	GCF_009730275	GCF_009769205	SRX026143	SRX1090887	SRX130900	SRX130912	SRX130914	SRX155504	SRX155505	SRX155863	SRX155875	SRX2660270	SRX456245	SRX5949263	SRX5986001	SRX5986002	SRX5986003	SRX6613945	SRX6959881	SRX6959883	SRX6959885	SRX6959886	SRX6959887	SRX6959888	SRX6959889	SRX6959890	SRX6959891	SRX6959892	SRX6959893	SRX6959894	SRX6959895
ERX1126086	0	3752	3837	1211	1201	1297	3786	1180	1180	3833	3833	3833	3833	1227	1276	1235	3722	1237	858	1237	1241	1231	1230	1379	1230	1379	3806	3800	1237	1196	1194	1188	3777	3845	3778	3718	3823	3804	3757	3751	3658	3684	3771	3778	3749	3783
ERX1126089	3752	0	3093	3637	3649	3682	785	3595	3592	3076	3076	3076	3076	3574	3639	3596	3042	3597	3672	3597	3596	3595	3676	3681	3676	3681	2712	2711	3597	3660	3663	3645	3197	801	3031	2970	3030	2710	3017	2989	2970	3003	3021	3031	2992	3032
ERX1126106	3837	3093	0	3804	3754	3842	3126	3747	3744	112	112	112	112	3699	3754	3776	2742	3777	3722	3777	3776	3773	3813	3815	3813	3815	2877	2872	3777	3761	3755	3750	3193	2976	2823	2731	2750	2877	2805	2779	2715	2750	2816	2819	2778	2823
ERX1126138	1211	3637	3804	0	367	516	3661	339	338	3790	3790	3790	3790	1431	471	249	3646	250	1292	250	254	252	686	547	686	547	3734	3728	250	371	345	329	3741	3763	3698	3683	3732	3732	3678	3673	3587	3604	3692	3698	3671	3703
ERX1126140	1201	3649	3754	367	0	442	3656	424	424	3745	3745	3745	3745	1482	453	371	3623	371	1300	371	375	373	560	423	560	423	3706	3700	371	143	117	139	3708	3759	3669	3659	3709	3704	3648	3642	3559	3569	3663	3669	3640	3674
ERX1126143	1297	3682	3842	516	442	0	3704	592	592	3835	3835	3835	3835	1590	612	536	3685	536	1453	536	540	538	359	260	359	260	3776	3770	536	517	491	492	3779	3796	3746	3718	3794	3774	3723	3720	3621	3632	3738	3746	3718	3751
ERX1126150	3786	785	3126	3661	3656	3704	0	3602	3598	3117	3117	3117	3117	3536	3668	3611	3054	3613	3686	3613	3613	3611	3705	3697	3705	3697	2740	2738	3613	3637	3656	3652	3072	1093	3061	3024	3101	2738	3048	3034	3002	3027	3047	3062	3036	3062
ERX2150228	1180	3595	3747	339	424	592	3602	0	0	3736	3736	3736	3736	1429	575	305	3599	306	1284	306	310	308	691	610	691	610	3703	3697	306	437	411	393	3694	3693	3651	3632	3684	3701	3628	3629	3543	3557	3643	3651	3627	3656
ERX2150229	1180	3592	3744	338	424	592	3598	0	0	3733	3733	3733	3733	1428	574	305	3598	306	1282	306	310	308	691	610	691	610	3700	3694	306	437	411	393	3690	3690	3649	3627	3679	3698	3626	3627	3541	3555	3641	3649	3625	3654
ERX271950	3833	3076	112	3790	3745	3835	3117	3736	3733	0	0	0	0	3684	3744	3766	2732	3767	3713	3767	3766	3763	3808	3809	3808	3809	2872	2867	3767	3752	3746	3741	3187	2959	2813	2723	2720	2871	2795	2769	2692	2726	2807	2809	2768	2813
ERX271958	3833	3076	112	3790	3745	3835	3117	3736	3733	0	0	0	0	3684	3744	3766	2732	3767	3713	3767	3766	3763	3808	3809	3808	3809	2872	2867	3767	3752	3746	3741	3187	2959	2813	2723	2720	2871	2795	2769	2692	2726	2807	2809	2768	2813
ERX450852	3833	3076	112	3790	3745	3835	3117	3736	3733	0	0	0	0	3684	3744	3766	2732	3767	3713	3767	3766	3763	3808	3809	3808	3809	2872	2867	3767	3752	3746	3741	3187	2959	2813	2723	2720	2871	2795	2769	2692	2726	2807	2809	2768	2813
ERX450860	3833	3076	112	3790	3745	3835	3117	3736	3733	0	0	0	0	3684	3744	3766	2732	3767	3713	3767	3766	3763	3808	3809	3808	3809	2872	2867	3767	3752	3746	3741	3187	2959	2813	2723	2721	2871	2795	2769	2692	2726	2807	2809	2768	2813
GCF_003795065	1227	3574	3699	1431	1482	1590	3536	1429	1428	3684	3684	3684	3684	0	1573	1477	3576	1479	949	1479	1484	1474	1390	1620	1390	1620	3684	3678	1479	1432	1456	1451	3716	3680	3586	3628	3673	3682	3564	3566	3530	3560	3581	3585	3564	3590
GCF_003971565	1276	3639	3754	471	453	612	3668	575	574	3744	3744	3744	3744	1573	0	503	3602	503	1445	503	507	499	755	639	755	639	3692	3686	503	457	451	444	3655	3720	3672	3645	3674	3690	3655	3641	3534	3544	3669	3670	3640	3675
GCF_009730275	1235	3596	3776	249	371	536	3611	305	305	3766	3766	3766	3766	1477	503	0	3625	0	1304	0	6	4	677	547	677	547	3710	3704	0	380	354	336	3702	3706	3669	3652	3718	3708	3649	3647	3554	3567	3662	3669	3645	3674
GCF_009769205	3722	3042	2742	3646	3623	3685	3054	3599	3598	2732	2732	2732	2732	3576	3602	3625	0	3625	3631	3625	3624	3622	3654	3661	3654	3661	2828	2825	3625	3626	3625	3613	3080	2976	2451	2676	2666	2828	2444	2443	2421	2438	2445	2449	2442	2453
