sample	estimated_genome_size	is_paired	original_total_bp	original_coverage	original_read_total	original_read_min	original_read_mean	original_read_std	original_read_median	original_read_max	original_read_25th	original_read_75th	original_qual_min	original_qual_mean	original_qual_std	original_qual_max	original_qual_median	original_qual_25th	original_qual_75th	final_total_bp	final_coverage	final_read_total	final_read_min	final_read_mean	final_read_std	final_read_median	final_read_max	final_read_25th	final_read_75th	final_qual_min	final_qual_mean	final_qual_std	final_qual_max	final_qual_median	final_qual_25th	final_qual_75th	contig_non_acgtn	contig_percent_a	contig_percent_c	contig_percent_g	contig_percent_n	contig_percent_t	contigs_greater_100k	contigs_greater_10k	contigs_greater_1k	contigs_greater_1m	l50_contig_count	max_contig_length	mean_contig_length	median_contig_length	min_contig_length	n50_contig_length	num_contig_non_acgtn	percent_contigs_greater_100k	percent_contigs_greater_10k	percent_contigs_greater_1k	percent_contigs_greater_1m	total_contig	total_contig_length	annotation_organism	annotation_contigs	annotation_bases	annotation_CDS	annotation_gene	annotation_rRNA	annotation_repeat_region	annotation_tRNA	annotation_tmRNA	rank	reason
DRX019814	3165550	True	2145031944	677.618	8545944	251	251	0	251	251	251	251	4	33.211	3.760	38	34	31	36	316555099	100.000	1572360	35	201.325	58.753	250	250	143	250	11	35.119	3.453	38	36.500	34.500	37.500	0.00	28.51	21.94	20.93	0.00	28.62	1	42	71	0	13	153576	22980	12270	514	47713	0	1.25	52.50	88.75	0.00	80	1838446	Lactobacillus spp. strain	80	1838446	1845	1909	4	1	59	1	gold	passed all cutoffs
DRX022186	2607450	True	1491597620	572.052	5942620	251	251	0.000	251	251	251	251	4	32.346	4.599	38	34	31	35.500	260745074	100.000	1075526	35.500	242.435	26.411	250	250	250	250	10	32.892	4.394	38	34.500	31	36	0.00	30.96	19.33	18.81	0.00	30.90	3	32	41	0	9	257525	50941	40227	537	85906	0	6.52	69.57	89.13	0.00	46	2343299	Lactobacillus spp. strain	46	2343299	2292	2352	7	1	52	1	gold	passed all cutoffs
DRX040364	1693790	True	195435921	115.384	1183050	4.500	165.197	65.131	164.500	301	118	213.500	24.500	36.038	1.488	37	36.500	35.500	37	169379202	100.000	1022666	35	165.625	62.758	165	300	117.500	210	27	36.157	1.339	37	37	35.500	37	0.00	25.72	24.76	23.36	0.00	26.16	2	39	53	0	11	144578	29276	24204	548	43635	0	3.57	69.64	94.64	0.00	56	1639462	Lactobacillus spp. strain	56	1639462	1561	1616	2	1	52	1	gold	passed all cutoffs
DRX058277	3639950	True	1746678531	479.863	5829866	35	299.608	10.552	301	301	300	301	2	27.504	3.869	37	28	25	30.500	363995197	100.000	1220204	35	298.307	12.709	300	300	300	300	12	27.562	3.883	37	28	25	30.500	0.00	28.23	21.61	22.03	0.00	28.13	5	48	78	0	12	175997	28693	15557	634	61113	0	5.88	56.47	91.76	0.00	85	2438939	Lactobacillus spp. strain	85	2438939	2414	2477	3	2	59	1	silver	Poor read quality (Q27.56, expect >= Q30)
DRX061114	2342800	True	945300600	403.492	6302004	150	150	0	150	150	150	150	5	35.663	2.645	38	36.500	35.500	37	234280101	100.000	1745576	35	134.214	27.748	150	150	127.500	150	13	36.361	2.362	40	37	36	37	0.00	31.16	18.53	19.47	0.00	30.84	3	35	52	0	10	193279	36163	20140	606	77937	0	5.56	64.81	96.30	0.00	54	1952844	Lactobacillus spp. strain	54	1952844	1913	1976	3	2	59	1	gold	passed all cutoffs
DRX061115	4027530	True	820984200	203.844	5473228	150	150	0	150	150	150	150	4	35.293	2.716	38	36	35.500	37	402752959	100.000	2807918	35	143.435	19.087	150	150	150	150	12	35.622	2.497	40	36	35.500	37	0.00	26.56	23.70	23.17	0.00	26.58	5	15	23	0	4	364591	72544	13198	531	254740	0	17.24	51.72	79.31	0.00	29	2103803	Lactobacillus spp. strain	29	2103803	1896	1970	4	1	69	1	gold	passed all cutoffs
DRX061116	2374780	True	917762700	386.462	6118418	150	150	0	150	150	150	150	5	35.192	2.790	38	36	35.500	37	237478039	100.000	1703004	35	139.447	23.780	150	150	149.500	150	12	35.709	2.522	40	36	35.500	37	0.00	26.40	24.07	22.83	0.00	26.70	5	34	57	0	7	336816	32726	10081	510	87769	0	7.46	50.75	85.07	0.00	67	2192664	Lactobacillus spp. strain	67	2192664	1923	2004	6	2	74	1	gold	passed all cutoffs
DRX061117	3659650	True	717181500	195.970	4781210	150	150	0	150	150	150	150	4.500	35.389	2.619	38	36	35.500	37	365965011	100.000	2568458	35	142.484	20.109	150	150	150	150	12	35.731	2.405	40	36	36	37	0.00	26.39	23.84	22.80	0.00	26.97	7	15	21	0	3	514722	93741	41599	674	276592	0	30.43	65.22	91.30	0.00	23	2156045	Lactobacillus spp. strain	23	2156045	1879	1959	7	1	72	1	gold	passed all cutoffs
DRX061118	2115240	True	728892600	344.590	4859284	150	150	0	150	150	150	150	6	35.775	2.559	38	37	36	37	211524134	100.000	1525536	35	138.656	24.357	150	150	145	150	11.500	36.273	2.330	40	37	36	37	0.00	31.21	18.74	19.09	0.00	30.96	1	48	74	0	13	145995	24789	16808	515	45615	0	1.25	60.00	92.50	0.00	80	1983195	Lactobacillus spp. strain	80	1983195	1923	1983	3	3	56	1	gold	passed all cutoffs
DRX061119	2212710	True	914716500	413.392	6098110	150	150	0	150	150	150	150	5	35.845	2.438	38	37	36	37	221271057	100.000	1614442	35	137.057	25.828	150	150	138.500	150	12	36.469	2.117	40	37	36	37	0.00	31.00	18.83	19.15	0.00	31.02	3	45	66	0	12	145234	27460	18741	507	49010	0	4.23	63.38	92.96	0.00	71	1949680	Lactobacillus spp. strain	71	1949680	1939	2001	2		59	1	gold	passed all cutoffs
