sample	assembly_species	assembly_taxon	top_mapped_taxon	top_mapped_reads	chao1_estimate	assembly_hit	input_reads	mapped_reads	ntu_observed_once	ntu_observed_twice	ntu_observed_three_plus	message
DRX019814	Lactobacillus oryzae	Lactobacillus	Lactobacillus	2323	11.000	AB731660.1.1488	786180	2564	4	2	7	
DRX022186	Lactobacillus hokkaidonensis	Lactobacillus	Lactobacillus	1312	104.000	AP014680.1445965.1447537	537763	1388	14	1	6	
DRX040364	Lactobacillus gorillae	Lactobacillus	Lactobacillus	3095	15.125	AB904716.1.1525	511333	3234	7	4	9	
DRX058277	Lactobacillus parakefiri	Lactobacillus	Lactobacillus	1825	2.500	AB429373.1.1533	610102	2021	1	1	2	
DRX061114	Lactobacillus amylovorus	Lactobacillus	Lactobacillus	4188	40.167	EF120369.1.1560	872788	4396	13	3	12	
DRX061115	Lactobacillus mucosae	Lactobacillus	Lactobacillus	8580	11.667	AF126738.1.1568	1403959	8780	4	3	9	
DRX061116	Lactobacillus mucosae	Lactobacillus	Lactobacillus	4813	11.600	EF120376.1.1566	851502	5016	6	5	8	
DRX061117	Lactobacillus mucosae LM1	Lactobacillus	Lactobacillus	8040	21.250	CP011013.762467.764062	1284229	8245	7	2	9	
DRX061118	Lactobacillus amylovorus	Lactobacillus	Lactobacillus	3561	58.000	EF120369.1.1560	762768	3705	14	2	9	
DRX061119	Lactobacillus amylovorus	Lactobacillus	Lactobacillus	3341	34.000	EF120369.1.1560	807221	3482	12	3	10	
DRX061120	Lactobacillus mucosae	Lactobacillus	Lactobacillus	4734	58.000	EF120376.1.1566	863332	4948	10	1	8	
DRX061121	Lactobacillus mucosae LM1	Lactobacillus	Lactobacillus	6935	10.250	CP011013.762467.764062	1082379	7070	3	2	8	
DRX061122	Lactobacillus mucosae	Lactobacillus	Lactobacillus	5014	25.000	AF126738.1.1568	833239	5202	8	2	9	
DRX061124	Lactobacillus mucosae	Lactobacillus	Lactobacillus	7389	41.667	EF120376.1.1566	1314171	7604	14	3	9	
DRX061125	Lactobacillus mucosae LM1	Lactobacillus	Lactobacillus	5189	21.500	CP011013.762467.764062	838439	5377	9	3	8	
DRX061126	Lactobacillus mucosae	Lactobacillus	Lactobacillus	9457	16.100	AF126738.1.1568	1396978	9735	9	5	8	
DRX061127	Lactobacillus amylovorus	Lactobacillus	Lactobacillus	3669	23.400	EF120369.1.1560	756124	3829	12	5	9	
DRX061128	Lactobacillus mucosae	Lactobacillus	Lactobacillus	4964	47.500	EF120376.1.1566	940882	5166	9	1	7	
DRX061129	Lactobacillus mucosae LM1	Lactobacillus	Lactobacillus	7063	68.500	CP011013.762467.764062	1111764	7217	11	1	8	
DRX061130			Lactobacillus	6021	44.125		904914	6302	15	4	16	WARNING: missing SPAdes assembly of the SSU
DRX061131	Lactobacillus amylovorus	Lactobacillus	Lactobacillus	3954	64.250	EF120369.1.1560	795851	4105	15	2	8	
