sample	cluster	assembled	match	pct_id	ctg_cov	known_var	novel_var
DRX061114	tet-	yes	yes	98.18	99.9	no	yes
DRX061118	tet-	yes	yes	98.18	101.5	no	yes
DRX061119	tet-	yes	yes	98.07	78.8	no	yes
DRX061126	lnuC	yes	yes	98.99	143.4	no	yes
DRX061127	tet-	yes	yes	98.07	39.8	no	yes
DRX061131	tet-	yes	yes	98.07	56.3	no	yes
DRX061133	ErmB	yes	yes	99.59	284.1	no	yes
DRX061134	lnuC	yes	yes	98.79	78.0	no	yes
DRX061134	tet-	yes	yes	98.07	140.2	no	yes
DRX061135	tet-	yes	yes	98.07	181.9	no	yes
DRX061136	tet-	yes	yes	98.18	161.9	no	yes
DRX061138	tet-	yes	yes	98.07	81.6	no	yes
DRX061139	tet-	yes	yes	98.07	32.9	no	yes
DRX061145	lnuC	yes	yes	98.99	59.8	no	yes
DRX061145	tet-	yes	yes	98.02	89.0	no	yes
DRX061149	tet-	yes	yes	96.34	83.4	no	yes
DRX061150	lnuC	yes	yes	98.99	37.3	no	yes
DRX061153	tet-	yes	yes	96.24	76.7	no	yes
DRX061157	tet-	yes	yes	98.12	97.2	no	yes
DRX061158	tet-	yes	yes	98.12	102.8	no	yes
ERX1126096	tetM	yes	yes	99.74	95.9	no	no
ERX1275835	ErmX	yes	yes	93.57	34.0	no	yes
ERX1275835	Mycobacteroides_abscessus_16S+	yes_nonunique	yes	90.24	126.1	no	yes
ERX1275856	OXA_85	yes	yes	100.0	107.5	no	no
ERX1275856	tetM	yes	yes	98.33	132.4	no	yes
ERX1275866	tetM	yes	yes	99.74	75.4	no	no
ERX1275883	Streptococcus_pneumoniae_23S	yes	yes	95.39	395.1	no	yes
ERX1275883	mprF_5	yes	yes	99.57	84.6	no	yes
ERX1275883	tetM	yes	yes	99.74	68.1	no	no
ERX1275924	ErmX	yes	yes	93.57	30.4	no	yes
ERX1275945	OXA_85	yes	yes	100.0	103.9	no	no
ERX1275945	tetM	yes	yes	98.33	140.7	no	yes
ERX1275955	tetM	yes	yes	99.74	78.0	no	no
ERX1275972	Streptococcus_pneumoniae_23S	yes	yes	95.39	412.9	no	yes
ERX1275972	mprF_5	yes	yes	99.57	85.1	no	yes
ERX1275972	tetM	yes	yes	99.74	68.4	no	no
ERX178670	Staphylococcus_aureus_23S	yes_nonunique	yes	98.26	512.3	no	yes
ERX178670	blaZ	yes	yes	96.34	31.4	no	yes
ERX178670	dfrC	yes	yes	100.0	41.0	no	no
ERX178670	mphC	yes	yes	98.44	124.9	no	yes
ERX178670	msrA	yes	yes	98.98	131.5	no	yes
ERX178670	norA_1	yes	yes	100.0	61.2	no	no
ERX178670	qac-	yes	yes	99.94	141.0	no	yes
ERX2000443	ErmX	yes	yes	93.81	29.1	no	yes
ERX2000463	Streptococcus_pneumoniae_23S	yes_nonunique	yes	96.63	296.0	no	yes
ERX2000463	tetA_46_	yes	yes	94.84	38.7	no	yes
ERX2000463	tetM	yes	yes	99.06	97.6	no	yes
ERX2000470	Mycobacteroides_abscessus_16S+	yes_nonunique	yes	91.03	18.8	no	yes
ERX2000470	tet-	yes	yes	98.12	8.6	no	yes
