study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	library_layout	nominal_length	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	first_created
PRJDB599	DRP000818	SAMD00008613	DRS002651	DRX002547	DRR003215	DRA000787	1423743	Lactobacillus farraginis DSM 18382 = JCM 14108	ION_TORRENT	Ion Torrent PGM		SINGLE		WGS	GENOMIC	RANDOM	567815	182396708	UT_COB	2014-06-17	2015-06-19	Ion Torrent PGM sequencing; Whole genome analysis of Lactobacillus farraginis JCM 14108	Genome sequencing of Lactobacillus farraginis JCM 14108	DRP000818	DRX002547	DRR003215	129652956	467a3029777fa1a58b824c2a2cd1297d	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003215/DRR003215.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003215/DRR003215.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003215/DRR003215.fastq.gz							448986157	24181f8cd2e323c458aeb1310bf08f7d	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003215	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003215	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003215				SAMD00008613		Whole genome analysis of Lactobacillus farraginis JCM 14108	2014-06-13
PRJDB621	DRP000837	SAMD00003603	DRS002670	DRX002566	DRR003234	DRA000806	1423748	Lactobacillus gallinarum DSM 10532 = JCM 2011	ION_TORRENT	Ion Torrent PGM		SINGLE		WGS	GENOMIC	RANDOM	547119	174453143	UT_COB	2014-06-17	2015-06-19	Ion Torrent PGM sequencing; Whole genome analysis of Lactobacillus gallinarum JCM 2011	Genome sequencing of Lactobacillus gallinarum JCM 2011	DRP000837	DRX002566	DRR003234	117604885	2f5f306aa29292f52b961b6fe9eacd0a	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003234/DRR003234.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003234/DRR003234.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003234/DRR003234.fastq.gz							434013247	46610b04d648e27b02696cda40eb3b7f	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003234	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003234	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003234				SAMD00003603		Whole genome analysis of Lactobacillus gallinarum JCM 2011	2014-06-13
PRJDB622	DRP000838	SAMD00009355	DRS002671	DRX002567	DRR003235	DRA000807	1423806	Lactobacillus sucicola DSM 21376 = JCM 15457	ION_TORRENT	Ion Torrent PGM		SINGLE		WGS	GENOMIC	RANDOM	468556	149512653	UT_COB	2014-06-17	2015-06-19	Ion Torrent PGM sequencing; Whole genome analysis of Lactobacillus sucicola JCM 15457	Genome sequencing of Lactobacillus sucicola JCM 15457	DRP000838	DRX002567	DRR003235	105439824	522ff1467687364328ce721a3040e7c9	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003235/DRR003235.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003235/DRR003235.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003235/DRR003235.fastq.gz							371262291	dd57370621193cb473ca8c4475ecb0a9	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003235	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003235	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003235				SAMD00009355		Whole genome analysis of Lactobacillus sucicola JCM 15457	2014-06-13
PRJDB634	DRP000849	SAMD00016569	DRS002686	DRX002582	DRR003251	DRA000818	1423823	Lactobacillus delbrueckii subsp. delbrueckii DSM 20074 = JCM 1012	ION_TORRENT	Ion Torrent PGM		SINGLE		WGS	GENOMIC	RANDOM	576628	180843727	UT_COB	2014-06-17	2015-06-19	Ion Torrent PGM sequencing; Whole genome analysis of Lactobacillus delbrueckii subsp. delbrueckii JCM 1012	Genome sequencing of Lactobacillus delbrueckii subsp. delbrueckii JCM 1012	DRP000849	DRX002582	DRR003251	125438775	8a02c0c11132d085294f947263833366	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003251/DRR003251.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003251/DRR003251.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003251/DRR003251.fastq.gz							449622683	0568be55e04e0e4fa42b83a3d63dad91	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003251	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003251	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003251				SAMD00016569		Whole genome analysis of Lactobacillus delbrueckii subsp. delbrueckii JCM 1012	2014-06-13
PRJDB635	DRP000850	SAMD00003499	DRS002687	DRX002583	DRR003252	DRA000819	324831	Lactobacillus gasseri ATCC 33323 = JCM 1131	ION_TORRENT	Ion Torrent PGM		SINGLE		WGS	GENOMIC	RANDOM	491632	156428124	UT_COB	2014-06-17	2015-06-19	Ion Torrent PGM sequencing; Whole genome analysis of Lactobacillus gasseri JCM 1131	Genome sequencing of Lactobacillus gasseri JCM 1131	DRP000850	DRX002583	DRR003252	106942505	bd6155b543fdf4da91bb87965368ea9e	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003252/DRR003252.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003252/DRR003252.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003252/DRR003252.fastq.gz							389686430	7eb9106bbd87fcd2977d8ac0599d5070	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003252	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003252	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003252				SAMD00003499		Whole genome analysis of Lactobacillus gasseri JCM 1131	2014-06-13
PRJDB636	DRP000851	SAMD00013701	DRS002688	DRX002584	DRR003253	DRA000820	1423717	Lactobacillus acidophilus DSM 20079 = JCM 1132 = NBRC 13951	ION_TORRENT	Ion Torrent PGM		SINGLE		WGS	GENOMIC	RANDOM	491396	155501685	UT_COB	2014-06-17	2015-06-19	Ion Torrent PGM sequencing; Whole genome analysis of Lactobacillus acidophilus JCM 1132	Genome sequencing of Lactobacillus acidophilus JCM 1132	DRP000851	DRX002584	DRR003253	104271397	6b21917657bde84458575720d4032507	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003253/DRR003253.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003253/DRR003253.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003253/DRR003253.fastq.gz							389049401	b9a9cd204677c2b05d069904753954c3	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003253	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003253	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003253				SAMD00013701		Whole genome analysis of Lactobacillus acidophilus JCM 1132	2014-06-13
PRJDB638	DRP000852	SAMD00015724	DRS002689	DRX002585	DRR003254	DRA000821	1423732	Lactobacillus casei DSM 20011 = JCM 1134	ION_TORRENT	Ion Torrent PGM		SINGLE		WGS	GENOMIC	RANDOM	535510	161728791	UT_COB	2014-06-17	2015-06-19	Ion Torrent PGM sequencing; Whole genome analysis of Lactobacillus casei JCM 1134	Genome sequencing of Lactobacillus casei JCM 1134	DRP000852	DRX002585	DRR003254	110936552	4e6da8731c1c7ebc5f41440ee6b3da75	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003254/DRR003254.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003254/DRR003254.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003254/DRR003254.fastq.gz							407651091	fc6ad80a9d1e18a05ea850a504367bd9	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003254	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003254	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003254				SAMD00015724		Whole genome analysis of Lactobacillus casei JCM 1134	2014-06-13
PRJDB639	DRP000853	SAMD00000741	DRS002690	DRX002586	DRR003255	DRA000822	1423797	Lactobacillus rhamnosus DSM 20021 = JCM 1136 = NBRC 3425	ION_TORRENT	Ion Torrent PGM		SINGLE		WGS	GENOMIC	RANDOM	530351	162658079	UT_COB	2014-06-17	2015-06-19	Ion Torrent PGM sequencing; Whole genome analysis of Lactobacillus rhamnosus JCM 1136	Genome sequencing of Lactobacillus rhamnosus JCM 1136	DRP000853	DRX002586	DRR003255	113037008	8514fda4f4ffbf35c7a01c79d2c18e3b	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003255/DRR003255.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003255/DRR003255.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003255/DRR003255.fastq.gz							407840735	6387b5b3d067c6f8725814c966f60684	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003255	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003255	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003255				SAMD00000741		Whole genome analysis of Lactobacillus rhamnosus JCM 1136	2014-06-13
PRJDB640	DRP000854	SAMD00016339	DRS002691	DRX002587	DRR003256	DRA000823	1423767	Lactobacillus kitasatonis DSM 16761 = JCM 1039	ION_TORRENT	Ion Torrent PGM		SINGLE		WGS	GENOMIC	RANDOM	453899	144633460	UT_COB	2014-06-17	2015-06-19	Ion Torrent PGM sequencing; Whole genome analysis of Lactobacillus kitasatonis JCM 1039	Genome sequencing of Lactobacillus kitasatonis JCM 1039	DRP000854	DRX002587	DRR003256	99717287	a77b08822ae644f45b289ab20459b15f	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003256/DRR003256.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003256/DRR003256.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003256/DRR003256.fastq.gz							361152345	8c7ed91e2a6abc55058603976dc274c0	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003256	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003256	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003256				SAMD00016339		Whole genome analysis of Lactobacillus kitasatonis JCM 1039	2014-06-13
PRJDB641	DRP000855	SAMD00012694	DRS002692	DRX002588	DRR003257	DRA000824	525338	Lactobacillus plantarum subsp. plantarum ATCC 14917 = JCM 1149 = CGMCC 1.2437	ION_TORRENT	Ion Torrent PGM		SINGLE		WGS	GENOMIC	RANDOM	490605	153015035	UT_COB	2014-06-17	2015-06-19	Ion Torrent PGM sequencing; Whole genome analysis of Lactobacillus plantarum subsp. plantarum JCM 1149	Genome sequencing of Lactobacillus plantarum subsp. plantarum JCM 1149	DRP000855	DRX002588	DRR003257	109663442	135bf6f8366a8d85489c02b441f26586	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003257/DRR003257.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003257/DRR003257.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003257/DRR003257.fastq.gz							382576435	10a00425298f305ed5ac81c32012af56	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003257	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003257	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003257				SAMD00012694		Whole genome analysis of Lactobacillus plantarum subsp. plantarum JCM 1149	2014-06-13
