sample	cluster	assembled	match	pct_id	ctg_cov	known_var	novel_var
ERX1275883	acpC	yes	yes	100.0	38.3	no	no
ERX1275883	cfa_cfb	yes	yes	99.48	58.2	no	yes
ERX1275883	cpsA_1	yes	yes	99.59	61.4	no	yes
ERX1275883	cpsB_1	yes	yes	99.86	48.1	no	no
ERX1275883	cpsC_1	yes	yes	99.42	48.9	no	no
ERX1275883	cpsD	yes	yes	99.57	46.9	no	yes
ERX1275883	cpsE_1	yes	yes	99.42	59.1	no	yes
ERX1275883	cpsF_1	yes	yes	98.89	34.3	no	yes
ERX1275883	cpsL	yes	yes	98.57	51.9	no	yes
ERX1275883	cylA_1	yes	yes	100.0	61.2	no	no
ERX1275883	cylB	yes	yes	99.89	62.3	no	no
ERX1275883	cylD	yes	yes	100.0	61.9	no	no
ERX1275883	cylF	yes	yes	100.0	59.9	no	no
ERX1275883	cylG	yes	yes	100.0	54.2	no	no
ERX1275883	cylI_1	yes	yes	100.0	73.2	no	no
ERX1275883	cylJ	yes	yes	99.92	65.5	no	yes
ERX1275883	cylK	yes	yes	100.0	50.9	no	no
ERX1275883	cylX	yes	yes	100.0	42.2	no	no
ERX1275883	cylZ	yes	yes	100.0	50.6	no	no
ERX1275883	gbs0628	yes	yes	99.94	75.8	no	no
ERX1275883	gbs0630	yes	yes	99.89	50.0	no	yes
ERX1275883	gbs0631	yes	yes	99.88	51.0	no	no
ERX1275883	gbs0632	yes	yes	100.0	80.4	no	no
ERX1275883	hylB	yes	yes	96.21	64.1	no	yes
ERX1275883	lmb	yes	yes	99.13	48.3	no	yes
ERX1275883	neuA	yes	yes	99.36	52.6	no	yes
ERX1275883	neuB	yes	yes	99.51	50.6	no	no
ERX1275883	neuC	yes	yes	99.39	56.1	no	yes
ERX1275883	neuD	yes	yes	99.05	46.1	no	no
ERX1275883	pilA	yes	yes	99.3	73.3	no	yes
ERX1275883	pilB_1	yes	yes	99.16	62.2	no	yes
ERX1275883	pilC_3	yes	yes	99.68	48.9	no	yes
ERX1275883	scp-	yes	yes	99.97	69.0	no	no
ERX1275883	srtC4	yes	yes	99.32	53.3	no	yes
ERX1275972	acpC	yes	yes	100.0	41.2	no	no
ERX1275972	cfa_cfb	yes	yes	99.48	57.7	no	yes
ERX1275972	cpsA_1	yes	yes	99.59	61.8	no	yes
ERX1275972	cpsB_1	yes	yes	99.86	53.7	no	no
ERX1275972	cpsC_1	yes	yes	99.42	46.3	no	no
ERX1275972	cpsD	yes	yes	99.57	50.0	no	yes
ERX1275972	cpsE_1	yes	yes	99.42	59.2	no	yes
ERX1275972	cpsF_1	yes	yes	98.89	39.7	no	yes
ERX1275972	cpsL	yes	yes	98.57	54.0	no	yes
ERX1275972	cylA_1	yes	yes	100.0	58.8	no	no
ERX1275972	cylB	yes	yes	99.89	62.8	no	no
ERX1275972	cylD	yes	yes	100.0	56.3	no	no
ERX1275972	cylF	yes	yes	100.0	58.0	no	no
ERX1275972	cylG	yes	yes	100.0	55.3	no	no
ERX1275972	cylI_1	yes	yes	100.0	68.7	no	no
ERX1275972	cylJ	yes	yes	99.92	60.0	no	yes
ERX1275972	cylK	yes	yes	100.0	53.9	no	no
ERX1275972	cylX	yes	yes	100.0	40.0	no	no
ERX1275972	cylZ	yes	yes	100.0	48.8	no	no
ERX1275972	gbs0628	yes	yes	99.94	71.7	no	no
ERX1275972	gbs0630	yes	yes	99.89	53.6	no	yes
ERX1275972	gbs0631	yes	yes	99.88	52.8	no	no
ERX1275972	gbs0632	yes	yes	100.0	77.5	no	no
ERX1275972	hylB	yes	yes	96.21	62.4	no	yes
ERX1275972	lmb	yes	yes	99.13	48.7	no	yes
ERX1275972	neuA	yes	yes	99.36	56.6	no	yes
ERX1275972	neuB	yes	yes	99.51	52.5	no	no
ERX1275972	neuC	yes	yes	99.39	52.0	no	yes
ERX1275972	neuD	yes	yes	99.05	41.3	no	no
ERX1275972	pilA	yes	yes	99.3	72.7	no	yes
ERX1275972	pilB_1	yes	yes	99.16	66.8	no	yes
ERX1275972	pilC_3	yes	yes	99.68	56.2	no	yes
ERX1275972	scp-	yes	yes	99.97	67.8	no	no
ERX1275972	srtC4	yes	yes	99.32	46.1	no	yes
ERX178725	cheW_2	yes	yes	100.0	3.1	no	no
ERX178725	flgM_6	yes	yes	98.99	1.7	no	yes
ERX2000501	adsA	yes	yes	97.11	4.5	no	yes
ERX2000501	cap8C	yes	yes	99.48	5.5	no	yes
ERX2000501	cap8D	yes	yes	98.14	5.2	no	yes
ERX2000501	cap8E	yes	yes	98.74	6.3	no	no
ERX2000501	cap8F	yes	yes	98.47	3.9	no	yes
ERX2000501	cap8I	yes	yes	98.78	6.1	no	yes
ERX2000501	cap8J	yes	yes	98.92	4.1	no	yes
ERX2000501	cap8K	yes	yes	98.95	5.7	no	yes
ERX2000501	cap8N	yes	yes	98.09	4.3	no	yes
ERX2000501	cap8O	yes	yes	99.13	5.5	no	yes
ERX2000501	cap8P	yes	yes	98.95	4.5	no	yes
ERX2000501	chp	yes	yes	100.0	5.3	no	no
ERX2000501	ebp	yes	yes	98.77	5.9	no	yes
ERX2000501	esaA	yes	yes	99.11	6.8	no	yes
ERX2000501	esaB	yes	yes	98.35	3.2	no	no
ERX2000501	esaG1	yes	yes	93.67	4.3	no	yes
ERX2000501	essB	yes	yes	98.95	4.9	no	yes
ERX2000501	esxA	yes	yes	99.32	4.6	no	no
ERX2000501	hlgA	yes	yes	99.25	3.6	no	yes
ERX2000501	hlgC	yes	yes	95.46	2.5	no	yes
ERX2000501	icaA	yes	yes	99.44	5.7	no	yes
